actual_salary,predicted_salary,error
65000,62723.40425531915,2276.5957446808534
85000,86106.38297872341,-1106.3829787234135
60000,63163.120567375874,-3163.120567375874
45000,41914.893617021255,3085.1063829787454
95000,95276.59574468088,-276.5957446808752
75000,72333.33333333333,2666.6666666666715
100000,104446.80851063834,-4446.808510638337
50000,49829.78723404254,170.21276595746167
72000,72000.0,0.0
48000,51085.1063829787,-3085.1063829787017
88000,86106.38297872341,1893.6170212765865
82000,81503.54609929078,496.4539007092244
78000,78000.0,0.0
105000,104446.80851063834,553.1914893616631
68000,68170.21276595743,-170.21276595743257
43000,41914.893617021255,1085.1063829787454
110000,104446.80851063834,5553.191489361663
65000,63163.120567375874,1836.879432624126
92000,95276.59574468088,-3276.595744680875
80000,80000.0,0.0
